City_ID,City,Country,Max Temp,Humidity,Cloudiness,Lat,Lng,Hotel Name
427,Morehead,US,37.15,35,100,37.2711,-87.1764,CCI Express Inn
434,Rincon,US,46.85,48,20,32.296,-81.2354,Days Inn Rincon
435,Borgarnes,IS,41.56,94,100,64.5383,-21.9206,Hotel Hafnarfjall
439,Svetlyy,RU,39.25,96,100,54.675,20.1347,"Gostinitsa-Kafe, Alena"
443,Pachmarhi,IN,48.63,45,0,22.4667,78.4333,TBT Budget Stays
445,Sunndalsora,NO,38.05,96,100,62.6754,8.5515,Trædal Hotel
452,Llanes,ES,41.86,61,0,43.4198,-4.7549,Hotel La Paz
453,Konice,CZ,38.53,80,78,49.5903,16.8891,Jana Mikešová
457,Kirkwall,GB,41.05,93,75,58.9848,-2.9587,Kirkwall Hotel
458,Ashqelon,IL,48.4,65,100,31.6693,34.5715,Leonardo Ashkelon
467,Melbu,NO,32.31,65,100,68.5044,14.8297,Melbu Hotel
475,Surany,SK,41.04,76,71,48.0861,18.1845,Penzión TYCHE
479,Guozhen,CN,34.95,89,100,34.3659,107.359,Yucai Hotel
480,Tolcsva,HU,32.54,96,92,48.2833,21.45,Kazsimér Vendégház
488,Jian,CN,43.86,87,100,27.1172,114.9793,Luling International Hotel
499,Klamath Falls,US,39.11,44,0,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
509,Chandausi,IN,46.74,64,0,28.45,78.7667,GUPTA GUEST HOUSE CHANDAUSI
510,Tanggu,CN,30.16,32,7,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
518,Bicester,GB,38.62,94,71,51.9,-1.1536,Premier Inn Bicester hotel
519,Vestmannaeyjar,IS,42.58,92,100,63.4427,-20.2734,Glamping & Camping
520,Newport,GB,41.11,89,43,51.5877,-2.9984,ibis budget Newport
529,Carballo,ES,45.01,94,4,43.213,-8.691,Pazo do Souto
540,Westport,US,33.62,70,80,41.1415,-73.3579,The Westport Inn
544,Oyama,JP,47.66,30,2,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
547,Lake Forest Park,US,41.5,86,43,47.7568,-122.281,"Studio 6 Mountlake Terrace, WA - Seattle"
552,Anzio,IT,49.44,77,100,41.4853,12.6179,Beauty Hotel & SPA
554,Sayyan,YE,48.07,55,11,15.1718,44.3244,ملاطف ابوحورية
564,Linqiong,CN,40.86,94,100,30.4159,103.4609,Tianlun Tanxianglou Hotel
568,Navahrudak,BY,31.96,98,100,53.6,25.8333,Hotel Grazhina
576,Sorland,NO,33.3,50,100,67.667,12.6934,Sjybrygga fiskecamp
578,Huallanca,PE,48.04,93,100,-9.8993,-76.9417,HOSTAL MARBEN
579,Mizdah,LY,40.93,69,5,31.4451,12.9801,محمدالمبروك الاريقط
584,Azangaro,PE,42.03,91,100,-14.9167,-70.2167,Hotel Miraflores Azangaro
593,Melfi,IT,39.49,91,100,40.9965,15.6514,HOTEL TERME DI RAPOLLA
604,Arcachon,FR,32.41,100,100,44.5875,-1.0519,Hôtel All Suites Le Teich
613,Harboore,DK,39.22,69,3,56.6175,8.1807,Harboøre Hotel
614,Sterling,US,33.35,56,100,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
617,Madison,US,42.66,67,100,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
618,Brigantine,US,32.0,69,20,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
624,Sete,FR,39.88,58,57,43.4018,3.6966,Hotel De Paris Sète
627,Gien,FR,36.45,96,87,47.6933,2.6309,Hôtel la Poularde
630,Laukaa,RU,30.85,98,100,58.7372,29.8453,U Lysoy Gory Hotel
637,Karpathos,GR,49.96,53,87,35.507,27.2132,Alex
