City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Patricio,US,2022-01-26 00:06:55,28.017,-97.5169,60.89,64,0,8.68
68,Coihaique,CL,2022-01-26 00:06:55,-45.5752,-72.0662,66.81,48,0,5.75
69,Talnakh,RU,2022-01-26 00:06:55,69.4865,88.3972,1.2,96,73,11.9
70,Chokurdakh,RU,2022-01-26 00:06:55,70.6333,147.9167,-32.21,100,100,7.31
71,Zhigansk,RU,2022-01-26 00:02:17,66.7697,123.3711,-13.72,98,98,8.28
72,Ushuaia,AR,2022-01-25 23:59:31,-54.8,-68.3,42.46,81,75,26.46
73,Jamestown,US,2022-01-25 23:57:35,42.097,-79.2353,17.1,96,98,3.47
74,Tasiilaq,GL,2022-01-26 00:00:27,65.6145,-37.6368,12.36,74,28,7.85
75,Albany,US,2022-01-25 23:59:32,42.6001,-73.9662,25.27,69,65,8.66
76,Toyooka,JP,2022-01-26 00:04:07,35.5333,134.8333,33.85,100,75,3.44
77,Aktau,KZ,2022-01-26 00:06:56,43.65,51.2,37.98,78,98,7.38
78,Sabha,LY,2022-01-26 00:06:41,27.0377,14.4283,43.2,82,5,10.8
79,Avarua,CK,2022-01-25 23:59:28,-21.2078,-159.775,78.85,89,100,5.75
80,La Rioja,ES,2022-01-26 00:06:56,42.25,-2.5,33.12,69,0,5.32
81,Hithadhoo,MV,2022-01-25 23:55:00,-0.6,73.0833,80.98,67,91,16.26
82,Muli,MV,2022-01-26 00:06:56,2.9167,73.5667,79.7,64,96,12.21
83,Ugoofaaru,MV,2022-01-26 00:06:57,5.6667,73.0,79.79,65,96,10.54
84,Nikolskoye,RU,2022-01-26 00:00:27,59.7035,30.7861,13.91,99,74,3.87
85,Coquimbo,CL,2022-01-26 00:06:57,-29.9533,-71.3436,63.86,81,3,5.19
86,New Norfolk,AU,2022-01-26 00:02:15,-42.7826,147.0587,64.65,63,100,1.99
87,Kirkwall,GB,2022-01-26 00:06:57,58.9848,-2.9587,46.45,76,77,25.32
88,Cape Town,ZA,2022-01-25 23:57:37,-33.9258,18.4232,68.41,76,0,5.01
89,Mahebourg,MU,2022-01-25 23:58:38,-20.4081,57.7,75.49,73,40,10.36
90,Kapaa,US,2022-01-26 00:02:13,22.0752,-159.319,78.48,59,88,1.01
91,Hovd,MN,2022-01-26 00:01:33,48.0056,91.6419,-11.02,76,62,4.34
92,Castro,BR,2022-01-26 00:07:58,-24.7911,-50.0119,68.25,60,14,3.83
93,Guerrero Negro,MX,2022-01-26 00:01:05,27.9769,-114.0611,64.89,49,42,10.85
94,Maksatikha,RU,2022-01-26 00:07:58,57.797,35.8825,20.08,93,92,7.92
95,Port Macquarie,AU,2022-01-26 00:07:58,-31.4333,152.9167,74.89,69,100,5.08
96,Qaanaaq,GL,2022-01-26 00:00:27,77.484,-69.3632,-10.75,57,9,7.09
97,Aden,YE,2022-01-26 00:07:58,12.7794,45.0367,75.29,73,5,9.62
98,Pisco,PE,2022-01-26 00:07:59,-13.7,-76.2167,69.85,78,0,20.71
99,Carnarvon,AU,2022-01-26 00:00:26,-24.8667,113.6333,78.96,55,0,18.23
100,Broken Hill,AU,2022-01-26 00:07:59,-31.95,141.4333,83.97,46,61,7.07
101,Nantucket,US,2022-01-26 00:07:59,41.2835,-70.0995,40.08,76,75,8.05
102,Egvekinot,RU,2022-01-26 00:08:00,66.3167,-179.1667,-27.4,90,89,1.57
103,Olafsvik,IS,2022-01-25 23:59:25,64.8945,-23.7142,31.75,70,85,3.13
104,Aras,ES,2022-01-26 00:08:00,42.5617,-2.356,32.05,100,0,2.3
105,Vieste,IT,2022-01-26 00:08:00,41.8825,16.175,49.44,72,23,19.77
106,Kiunga,PG,2022-01-26 00:08:00,-6.1219,141.2906,84.69,67,97,2.53
107,Yulara,AU,2022-01-26 00:08:01,-25.2406,130.9889,91.67,29,100,11.83
108,Georgetown,MY,2022-01-25 23:57:24,5.4112,100.3354,80.53,93,20,1.99
109,Kuminskiy,RU,2022-01-26 00:08:01,58.6667,66.5667,6.08,97,93,4.29
110,Longyearbyen,SJ,2022-01-26 00:07:55,78.2186,15.6401,15.64,62,40,19.57
111,Oliveira Dos Brejinhos,BR,2022-01-26 00:08:01,-12.3169,-42.8961,67.35,96,98,3.69
112,College,US,2022-01-25 23:59:26,64.8569,-147.8028,19.09,81,100,1.99
113,Christchurch,NZ,2022-01-26 00:07:43,-43.5333,172.6333,70.0,73,75,4.0
114,Fort Nelson,CA,2022-01-26 00:08:02,58.8053,-122.7002,39.38,63,74,16.42
115,Unai,BR,2022-01-26 00:08:02,-16.3575,-46.9061,74.79,71,86,1.86
116,Srednekolymsk,RU,2022-01-26 00:00:25,67.45,153.6833,-34.49,100,94,5.73
117,Ormara,PK,2022-01-26 00:08:02,25.2088,64.6357,65.44,26,0,7.94
118,Kabale,UG,2022-01-26 00:08:02,-1.2486,29.9899,58.23,80,100,2.37
119,Hasaki,JP,2022-01-26 00:08:03,35.7333,140.8333,39.42,86,100,18.9
120,East London,ZA,2022-01-25 23:59:29,-33.0153,27.9116,72.52,84,76,3.0
121,Maine-Soroa,NE,2022-01-26 00:08:03,13.2114,12.0241,61.41,19,2,10.27
122,Imatra,FI,2022-01-26 00:08:03,61.1719,28.7524,16.18,92,55,4.94
123,Beringovskiy,RU,2022-01-25 23:58:20,63.05,179.3167,-22.77,92,18,0.89
124,Barra,BR,2022-01-26 00:08:04,-11.0894,-43.1417,73.78,81,86,2.21
125,Durban,ZA,2022-01-26 00:08:04,-29.8579,31.0292,76.01,88,33,1.99
126,Formosa,AR,2022-01-26 00:08:04,-26.1775,-58.1781,91.04,39,71,5.08
127,Forio,IT,2022-01-26 00:08:04,40.7342,13.8646,48.42,74,27,4.0
128,Esperance,AU,2022-01-26 00:08:05,-33.8667,121.9,66.04,82,100,13.29
129,Bobo Dioulasso,BF,2022-01-26 00:08:05,11.1771,-4.2979,70.27,13,72,6.69
130,San Quintin,MX,2022-01-26 00:01:31,30.4833,-115.95,59.4,70,44,6.78
131,Sinegorye,RU,2022-01-26 00:08:05,62.0788,150.477,-20.13,98,100,1.79
132,Victoria,HK,2022-01-25 23:58:21,22.2855,114.1577,66.18,91,98,1.99
133,Saskylakh,RU,2022-01-26 00:02:12,71.9167,114.0833,10.54,85,100,19.15
134,Acapulco,MX,2022-01-26 00:05:02,16.8634,-99.8901,80.42,74,20,8.05
135,Salinopolis,BR,2022-01-26 00:08:05,-0.6136,-47.3561,78.49,83,83,9.91
136,Ponta Do Sol,PT,2022-01-26 00:04:33,32.6667,-17.1,61.43,70,27,7.27
137,Nicoya,CR,2022-01-26 00:08:06,10.1483,-85.452,78.03,68,3,3.22
138,Itarema,BR,2022-01-26 00:08:06,-2.9248,-39.9167,80.71,74,99,12.73
139,Faanui,PF,2022-01-26 00:03:19,-16.4833,-151.75,80.47,77,98,13.76
140,Buchanan,LR,2022-01-26 00:09:06,5.8808,-10.0467,77.92,86,5,3.33
141,Hirado,JP,2022-01-26 00:09:07,33.3597,129.5531,52.39,64,65,14.63
142,Nome,US,2022-01-26 00:04:36,64.5011,-165.4064,-5.73,84,40,0.0
143,Hami,CN,2022-01-26 00:09:07,42.8,93.45,21.6,51,66,3.51
144,Upernavik,GL,2022-01-25 23:59:31,72.7868,-56.1549,4.19,93,100,8.81
145,Sur,OM,2022-01-26 00:09:07,22.5667,59.5289,68.94,66,24,10.29
146,Cidreira,BR,2022-01-26 00:08:58,-30.1811,-50.2056,77.56,85,33,16.51
147,Pangnirtung,CA,2022-01-26 00:09:07,66.1451,-65.7125,-12.05,98,100,2.64
148,Kaeo,NZ,2022-01-26 00:09:08,-35.1,173.7833,74.32,93,49,10.11
149,Haines Junction,CA,2022-01-26 00:09:08,60.7522,-137.5108,23.36,96,57,4.23
150,Harper,LR,2022-01-26 00:09:08,4.375,-7.7169,78.67,84,3,5.68
151,Chapais,CA,2022-01-26 00:09:09,49.7834,-74.8492,-20.11,98,100,5.14
152,Piatra,RO,2022-01-26 00:09:09,43.8167,25.1667,24.66,61,69,9.71
153,Bethel,US,2022-01-26 00:03:19,41.3712,-73.414,35.04,60,0,3.44
154,Norman Wells,CA,2022-01-26 00:01:35,65.282,-126.8329,37.71,77,63,19.53
155,Ancud,CL,2022-01-25 23:59:28,-41.8697,-73.8203,65.73,79,9,1.88
156,Vila Franca Do Campo,PT,2022-01-26 00:00:28,37.7167,-25.4333,59.2,80,78,8.63
157,Mazyr,BY,2022-01-26 00:09:09,52.0495,29.2456,28.89,98,100,7.47
158,Vanimo,PG,2022-01-25 23:54:59,-2.6741,141.3028,84.13,69,91,2.55
159,Biak,ID,2022-01-26 00:09:09,-0.9131,122.8766,80.17,77,85,3.98
160,Bonthe,SL,2022-01-26 00:09:10,7.5264,-12.505,77.18,79,5,6.26
161,Podor,MR,2022-01-26 00:09:10,16.6527,-14.9587,76.66,13,92,12.24
162,Saint-Joseph,RE,2022-01-26 00:09:10,-21.3667,55.6167,71.98,73,86,12.75
163,Ribeira Grande,PT,2022-01-25 23:57:23,38.5167,-28.7,59.59,77,96,6.73
164,Kushima,JP,2022-01-26 00:09:10,31.4583,131.2333,50.81,67,36,7.65
165,Ciudad Bolivar,VE,2022-01-26 00:09:11,8.1222,-63.5497,81.09,64,100,14.18
166,Hamilton,US,2022-01-26 00:08:40,39.1834,-84.5333,27.09,64,75,3.0
167,Joshimath,IN,2022-01-26 00:09:11,30.5667,79.5667,29.05,59,49,7.45
168,Bensonville,LR,2022-01-26 00:09:11,6.4461,-10.6125,73.8,92,1,2.53
169,Broome,US,2022-01-26 00:09:12,42.2506,-75.833,22.69,78,100,1.99
170,Geraldton,AU,2022-01-25 23:58:06,-28.7667,114.6,73.81,53,0,11.5
171,Revda,RU,2022-01-26 00:09:12,56.801,59.9303,7.12,86,10,5.84
172,Hobart,AU,2022-01-25 23:59:25,-42.8794,147.3294,65.01,73,75,6.91
173,Tigil,RU,2022-01-26 00:09:12,57.8,158.6667,-7.42,96,99,1.36
174,Kang,BW,2022-01-26 00:09:12,-23.6752,22.7876,74.53,44,62,6.06
175,Alexandria,EG,2022-01-26 00:06:29,31.2156,29.9553,54.36,56,84,18.16
176,Provideniya,RU,2022-01-25 23:59:28,64.3833,-173.3,-6.65,64,0,6.71
177,Kavaratti,IN,2022-01-26 00:04:35,10.5669,72.642,77.43,53,84,7.25
178,Nemuro,JP,2022-01-26 00:05:02,43.3236,145.575,14.43,72,70,1.07
179,Mar Del Plata,AR,2022-01-26 00:09:13,-38.0023,-57.5575,73.87,93,75,11.01
180,Salalah,OM,2022-01-25 23:59:22,17.0151,54.0924,67.33,32,4,6.46
181,Iwanai,JP,2022-01-26 00:04:31,42.9744,140.5089,29.21,74,100,5.82
182,Cockburn Town,TC,2022-01-25 23:56:39,21.4612,-71.1419,76.98,71,0,9.1
183,Saint-Paul,RE,2022-01-26 00:09:13,-21.0096,55.2707,73.51,76,93,1.77
184,Chernyshevskiy,RU,2022-01-26 00:09:13,63.0128,112.4714,-23.04,100,85,3.02
185,Cavalcante,BR,2022-01-26 00:09:14,-13.7975,-47.4583,67.87,90,77,1.14
186,Merauke,ID,2022-01-26 00:10:14,-8.4667,140.3333,83.62,76,99,2.98
187,Perth,AU,2022-01-26 00:07:50,-31.9333,115.8333,71.67,62,0,11.5
188,Hokitika,NZ,2022-01-26 00:10:14,-42.7167,170.9667,65.39,74,73,13.58
189,Nurota,UZ,2022-01-26 00:10:14,40.5614,65.6886,23.09,56,0,4.61
190,Huarmey,PE,2022-01-26 00:10:15,-10.0681,-78.1522,72.28,80,41,7.58
191,Boa Vista,BR,2022-01-26 00:10:15,2.8197,-60.6733,85.98,54,40,9.22
192,Hutchinson,US,2022-01-26 00:07:06,38.0608,-97.9298,25.83,43,100,1.01
193,Velikiy Ustyug,RU,2022-01-26 00:10:15,60.7644,46.3106,13.57,95,100,6.22
194,Sitka,US,2022-01-26 00:10:16,57.0531,-135.33,39.09,93,100,4.61
195,Gazanjyk,TM,2022-01-26 00:10:16,39.2446,55.5154,39.42,58,23,9.4
196,Rockport,US,2022-01-26 00:10:16,28.0206,-97.0544,59.05,85,100,3.0
197,Oskaloosa,US,2022-01-26 00:10:17,41.2964,-92.6444,5.72,72,0,0.0
198,Namatanai,PG,2022-01-26 00:10:17,-3.6667,152.4333,84.96,69,86,4.9
199,Moche,PE,2022-01-26 00:10:17,-8.1711,-79.0092,69.98,83,75,9.22
200,Pundaguitan,PH,2022-01-26 00:10:17,6.3711,126.1689,80.56,78,100,7.47
201,Bojnurd,IR,2022-01-26 00:10:18,37.4747,57.329,31.6,37,5,5.95
202,Belyy Yar,RU,2022-01-26 00:10:18,53.6039,91.3903,-11.31,84,75,2.24
203,Narsaq,GL,2022-01-26 00:01:34,60.9167,-46.05,26.82,84,100,9.22
204,Matara,LK,2022-01-26 00:10:18,5.9485,80.5353,70.99,89,100,6.04
205,Santa Cruz,BO,2022-01-26 00:09:23,-17.8,-63.1667,83.66,70,40,6.91
206,Karratha,AU,2022-01-26 00:10:18,-20.7377,116.8463,84.09,69,0,8.75
207,Saint-Pierre,RE,2022-01-26 00:10:19,-21.3393,55.4781,73.08,73,75,5.75
208,Lakatoro,VU,2022-01-26 00:10:19,-16.0999,167.4164,86.52,66,88,5.32
209,Coahuayana,MX,2022-01-26 00:10:19,18.7333,-103.6833,85.48,55,0,5.26
210,Talcahuano,CL,2022-01-26 00:10:19,-36.7167,-73.1167,60.96,81,1,10.56
211,Betong,TH,2022-01-26 00:07:48,5.7743,101.0723,70.66,87,94,2.3
212,Aksu,CN,2022-01-26 00:10:20,41.1231,80.2644,20.89,64,21,2.55
213,Saurimo,AO,2022-01-26 00:10:20,-9.6608,20.3916,63.43,96,99,2.3
214,Sibolga,ID,2022-01-26 00:10:20,1.7427,98.7792,75.72,90,100,4.21
215,Yellowknife,CA,2022-01-26 00:01:05,62.456,-114.3525,1.42,91,98,11.01
216,Morada Nova,BR,2022-01-26 00:10:21,-5.1067,-38.3725,79.36,67,87,6.89
217,Umm Lajj,SA,2022-01-26 00:10:21,25.0213,37.2685,62.31,61,0,14.27
218,Dongkan,CN,2022-01-26 00:10:21,33.9997,119.8308,35.17,77,37,6.42
219,Ambulu,ID,2022-01-26 00:10:21,-8.345,113.6058,78.89,87,98,2.66
220,Chuy,UY,2022-01-26 00:01:01,-33.6971,-53.4616,75.67,93,100,6.55
221,New Lenox,US,2022-01-26 00:10:22,41.512,-87.9656,8.96,72,0,5.99
222,Sinnamary,GF,2022-01-26 00:10:22,5.3833,-52.95,76.48,87,89,10.36
223,Amga,RU,2022-01-26 00:10:22,60.8953,131.9608,-11.69,98,100,3.27
224,Ascension,US,2022-01-26 00:10:22,30.2169,-90.9001,57.31,82,75,0.0
225,Namibe,AO,2022-01-26 00:10:23,-15.1961,12.1522,75.2,85,92,2.84
226,Villa Maria,AR,2022-01-26 00:08:55,-32.4075,-63.2402,73.29,96,77,6.26
227,Willowmore,ZA,2022-01-26 00:10:23,-33.2926,23.4895,65.62,78,59,11.3
228,Yafran,LY,2022-01-26 00:11:23,32.0633,12.5286,35.85,68,3,0.76
229,Kondagaon,IN,2022-01-26 00:11:23,19.6,81.6667,51.96,69,0,3.69
230,Southbridge,US,2022-01-26 00:11:24,42.0751,-72.0334,33.42,66,93,1.99
231,Thiruvananthapuram,IN,2022-01-26 00:11:24,8.4833,76.9167,78.78,83,40,4.61
232,Leh,IN,2022-01-26 00:11:24,34.1667,77.5833,-5.31,89,100,3.85
233,Denpasar,ID,2022-01-26 00:11:24,-8.65,115.2167,83.86,79,40,8.05
234,Shache,CN,2022-01-26 00:11:25,38.4167,77.2406,22.44,55,20,1.54
235,Awbari,LY,2022-01-26 00:11:25,26.5921,12.7805,42.89,60,7,7.43
236,Maba,CN,2022-01-26 00:11:25,24.6841,113.5984,56.32,78,87,2.35
237,Praia Da Vitoria,PT,2022-01-26 00:11:25,38.7333,-27.0667,58.75,88,88,8.39
238,Pochutla,MX,2022-01-26 00:11:26,15.7432,-96.4661,81.82,64,0,6.31
239,San Angelo,US,2022-01-26 00:09:15,31.4638,-100.437,57.63,52,0,5.99
240,Bredasdorp,ZA,2022-01-26 00:04:37,-34.5322,20.0403,62.28,85,100,9.93
241,Te Anau,NZ,2022-01-26 00:10:30,-45.4167,167.7167,56.19,81,85,2.84
242,Vasai,IN,2022-01-26 00:11:26,19.47,72.8,66.29,51,4,8.5
243,Henties Bay,NA,2022-01-26 00:11:26,-22.116,14.2845,66.85,84,7,5.21
244,Tuatapere,NZ,2022-01-26 00:11:26,-46.1333,167.6833,54.82,90,100,5.93
245,Nelson Bay,AU,2022-01-26 00:11:27,-32.7167,152.15,79.29,64,54,1.99
246,Airai,TL,2022-01-26 00:11:27,-8.9266,125.4092,68.07,71,95,3.74
247,Omsukchan,RU,2022-01-26 00:10:44,62.5333,155.8,-29.31,99,98,2.95
248,Mulege,MX,2022-01-26 00:08:56,26.8833,-111.9833,70.83,34,72,4.38
249,Tual,ID,2022-01-26 00:11:27,-5.6667,132.75,84.11,75,100,9.13
250,Sorong,ID,2022-01-26 00:11:28,-0.8833,131.25,83.97,79,92,13.53
251,Quatre Cocos,MU,2022-01-26 00:11:28,-20.2078,57.7625,73.09,70,72,14.88
252,Thyboron,DK,2022-01-26 00:11:28,56.6985,8.2124,43.09,82,88,23.06
253,Tocopilla,CL,2022-01-26 00:11:28,-22.092,-70.1979,68.83,68,24,5.35
254,Sangin,AF,2022-01-26 00:11:29,32.0728,64.8359,38.64,44,0,8.32
255,Cabo San Lucas,MX,2022-01-25 23:58:29,22.8909,-109.9124,73.62,49,40,4.45
256,Katsuura,JP,2022-01-26 00:11:29,35.1333,140.3,44.19,92,99,15.68
257,Phangnga,TH,2022-01-26 00:11:29,8.4509,98.5298,77.04,92,94,3.42
258,Cayenne,GF,2022-01-26 00:11:29,4.9333,-52.3333,80.1,86,75,4.0
259,Arraial Do Cabo,BR,2022-01-26 00:11:30,-22.9661,-42.0278,76.46,87,15,20.71
260,San Cristobal,VE,2022-01-26 00:11:30,7.7669,-72.225,70.74,81,95,2.24
261,Oistins,BB,2022-01-26 00:11:30,13.0667,-59.5333,73.49,83,75,9.22
262,Dera Ghazi Khan,PK,2022-01-26 00:11:30,30.0561,70.6348,49.68,45,0,5.55
263,Iqaluit,CA,2022-01-26 00:03:21,63.7506,-68.5145,-20.47,76,75,3.44
264,Rhyl,GB,2022-01-26 00:11:31,53.3196,-3.4886,41.32,85,73,7.52
265,Samarai,PG,2022-01-26 00:11:31,-10.6167,150.6667,85.08,69,100,0.78
266,Xining,CN,2022-01-26 00:07:35,36.6167,101.7667,18.72,79,96,0.87
267,Hofn,IS,2022-01-26 00:11:31,64.2539,-15.2082,35.19,54,1,13.82
268,Karimpur,IN,2022-01-26 00:11:31,23.9667,88.6167,63.45,65,73,5.48
269,Alice Springs,AU,2022-01-26 00:11:32,-23.7,133.8833,86.74,49,99,12.71
270,Husavik,IS,2022-01-26 00:11:32,66.0449,-17.3389,29.95,94,100,29.15
271,Qasigiannguit,GL,2022-01-26 00:11:32,68.8193,-51.1922,14.25,73,82,8.16
272,Soyo,AO,2022-01-26 00:11:32,-6.1349,12.3689,77.05,80,96,4.74
273,Kavieng,PG,2022-01-26 00:07:40,-2.5744,150.7967,84.83,71,99,8.46
274,Newport,GB,2022-01-26 00:10:25,51.5877,-2.9984,41.77,87,95,3.4
275,Luau,AO,2022-01-26 00:11:33,-10.7073,22.2247,63.93,96,100,3.33
276,Solnechnyy,RU,2022-01-26 00:11:33,50.7214,136.6319,-3.69,97,46,0.2
277,Bosaso,SO,2022-01-26 00:11:33,11.2842,49.1816,70.5,72,4,5.3
278,Camocim,BR,2022-01-26 00:12:33,-2.9022,-40.8411,80.28,77,97,12.71
279,Lashio,MM,2022-01-26 00:12:34,22.9333,97.75,49.3,98,19,1.66
280,Saint George,US,2022-01-26 00:11:04,37.1041,-113.5841,53.64,32,0,8.01
281,Lucenec,SK,2022-01-26 00:12:34,48.3325,19.6671,33.75,90,57,1.99
